Fruit,Year,Month,Sales
Gates_of_the_Arctic,2005,DEC,0
Gates_of_the_Arctic,2005,Total_visitors,9459
Gates_of_the_Arctic,2004,JAN,0
Gates_of_the_Arctic,2004,FEB,10
Gates_of_the_Arctic,2004,MAR,35
Gates_of_the_Arctic,2004,APR,31
Gates_of_the_Arctic,2004,MAY,234
Gates_of_the_Arctic,2004,JUN,2698
Gates_of_the_Arctic,2004,JUL,3422
Gates_of_the_Arctic,2004,AUG,3338
Gates_of_the_Arctic,2004,SEP,512
Gates_of_the_Arctic,2004,OCT,0
Gates_of_the_Arctic,2004,NOV,0
Gates_of_the_Arctic,2004,DEC,2
Gates_of_the_Arctic,2004,Total_visitors,10282
Gates_of_the_Arctic,2003,JAN,0
Gates_of_the_Arctic,2003,FEB,1
Gates_of_the_Arctic,2003,MAR,8
Gates_of_the_Arctic,2003,APR,11
Gates_of_the_Arctic,2003,MAY,38
Gates_of_the_Arctic,2003,JUN,1952
Gates_of_the_Arctic,2003,JUL,2422
Gates_of_the_Arctic,2003,AUG,536
Gates_of_the_Arctic,2003,SEP,85
Gates_of_the_Arctic,2003,OCT,11
Gates_of_the_Arctic,2003,NOV,5
Gates_of_the_Arctic,2003,DEC,6
Gates_of_the_Arctic,2003,Total_visitors,5075
Gates_of_the_Arctic,2002,JAN,5
Gates_of_the_Arctic,2002,FEB,20
Gates_of_the_Arctic,2002,MAR,27
Gates_of_the_Arctic,2002,APR,13
Gates_of_the_Arctic,2002,MAY,109
Gates_of_the_Arctic,2002,JUN,1537
Gates_of_the_Arctic,2002,JUL,2364
Gates_of_the_Arctic,2002,AUG,2196
Gates_of_the_Arctic,2002,SEP,331
Gates_of_the_Arctic,2002,OCT,31
Gates_of_the_Arctic,2002,NOV,13
Gates_of_the_Arctic,2002,DEC,2
Gates_of_the_Arctic,2002,Total_visitors,6648
Gates_of_the_Arctic,2001,JAN,38
Gates_of_the_Arctic,2001,FEB,45
Gates_of_the_Arctic,2001,MAR,56
Gates_of_the_Arctic,2001,APR,28
Gates_of_the_Arctic,2001,MAY,93
Gates_of_the_Arctic,2001,JUN,1457
Gates_of_the_Arctic,2001,JUL,2077
Gates_of_the_Arctic,2001,AUG,316
Gates_of_the_Arctic,2001,SEP,80
Gates_of_the_Arctic,2001,OCT,83
Gates_of_the_Arctic,2001,NOV,130
Gates_of_the_Arctic,2001,DEC,102
Gates_of_the_Arctic,2001,Total_visitors,4505
Gates_of_the_Arctic,2000,JAN,19
Gates_of_the_Arctic,2000,FEB,49
Gates_of_the_Arctic,2000,MAR,62
Gates_of_the_Arctic,2000,APR,0
Gates_of_the_Arctic,2000,MAY,334
Gates_of_the_Arctic,2000,JUN,4330
Gates_of_the_Arctic,2000,JUL,5959
Gates_of_the_Arctic,2000,AUG,318
Gates_of_the_Arctic,2000,SEP,150
Gates_of_the_Arctic,2000,OCT,6
Gates_of_the_Arctic,2000,NOV,0
Gates_of_the_Arctic,2000,DEC,51
Gates_of_the_Arctic,2000,Total_visitors,11278
Gates_of_the_Arctic,1999,JAN,70
Gates_of_the_Arctic,1999,FEB,64
Gates_of_the_Arctic,1999,MAR,210
Gates_of_the_Arctic,1999,APR,81
Gates_of_the_Arctic,1999,MAY,249
Gates_of_the_Arctic,1999,JUN,1885
Gates_of_the_Arctic,1999,JUL,2548
Gates_of_the_Arctic,1999,AUG,2414
Gates_of_the_Arctic,1999,SEP,435
Gates_of_the_Arctic,1999,OCT,91
Gates_of_the_Arctic,1999,NOV,62
Gates_of_the_Arctic,1999,DEC,57
Gates_of_the_Arctic,1999,Total_visitors,8166
Gates_of_the_Arctic,1998,JAN,19
Gates_of_the_Arctic,1998,FEB,43
Gates_of_the_Arctic,1998,MAR,92
Gates_of_the_Arctic,1998,APR,41
Gates_of_the_Arctic,1998,MAY,204
Gates_of_the_Arctic,1998,JUN,2269
Gates_of_the_Arctic,1998,JUL,3051
Gates_of_the_Arctic,1998,AUG,1884
Gates_of_the_Arctic,1998,SEP,432
Gates_of_the_Arctic,1998,OCT,105
Gates_of_the_Arctic,1998,NOV,74
Gates_of_the_Arctic,1998,DEC,52
Gates_of_the_Arctic,1998,Total_visitors,8266
Gates_of_the_Arctic,1997,JAN,11
Gates_of_the_Arctic,1997,FEB,49
Gates_of_the_Arctic,1997,MAR,60
Gates_of_the_Arctic,1997,APR,51
Gates_of_the_Arctic,1997,MAY,18
Gates_of_the_Arctic,1997,JUN,1697
Gates_of_the_Arctic,1997,JUL,2546
Gates_of_the_Arctic,1997,AUG,2374
Gates_of_the_Arctic,1997,SEP,86
Gates_of_the_Arctic,1997,OCT,24
Gates_of_the_Arctic,1997,NOV,16
Gates_of_the_Arctic,1997,DEC,17
Gates_of_the_Arctic,1997,Total_visitors,6949
Gates_of_the_Arctic,1996,JAN,15
Gates_of_the_Arctic,1996,FEB,30
Gates_of_the_Arctic,1996,MAR,37
Gates_of_the_Arctic,1996,APR,35
Gates_of_the_Arctic,1996,MAY,29
Gates_of_the_Arctic,1996,JUN,1456
Gates_of_the_Arctic,1996,JUL,2483
Gates_of_the_Arctic,1996,AUG,2178
Gates_of_the_Arctic,1996,SEP,101
Gates_of_the_Arctic,1996,OCT,20
Gates_of_the_Arctic,1996,NOV,27
Gates_of_the_Arctic,1996,DEC,37
Gates_of_the_Arctic,1996,Total_visitors,6448
Gates_of_the_Arctic,1995,JAN,12
Gates_of_the_Arctic,1995,FEB,51
Gates_of_the_Arctic,1995,MAR,51
Gates_of_the_Arctic,1995,APR,43
Gates_of_the_Arctic,1995,MAY,22
Gates_of_the_Arctic,1995,JUN,1461
Gates_of_the_Arctic,1995,JUL,2746
Gates_of_the_Arctic,1995,AUG,2393
Gates_of_the_Arctic,1995,SEP,249
Gates_of_the_Arctic,1995,OCT,15
Gates_of_the_Arctic,1995,NOV,23
Gates_of_the_Arctic,1995,DEC,8
Gates_of_the_Arctic,1995,Total_visitors,7074
Gates_of_the_Arctic,1994,JAN,8
Gates_of_the_Arctic,1994,FEB,8
Gates_of_the_Arctic,1994,MAR,38
Gates_of_the_Arctic,1994,APR,32
Gates_of_the_Arctic,1994,MAY,32
Gates_of_the_Arctic,1994,JUN,182
Gates_of_the_Arctic,1994,JUL,526
Gates_of_the_Arctic,1994,AUG,795
Gates_of_the_Arctic,1994,SEP,55
Gates_of_the_Arctic,1994,OCT,19
Gates_of_the_Arctic,1994,NOV,19
Gates_of_the_Arctic,1994,DEC,12
Gates_of_the_Arctic,1994,Total_visitors,1726
Gates_of_the_Arctic,1993,JAN,9
Gates_of_the_Arctic,1993,FEB,14
Gates_of_the_Arctic,1993,MAR,38
Gates_of_the_Arctic,1993,APR,20
Gates_of_the_Arctic,1993,MAY,55
Gates_of_the_Arctic,1993,JUN,269
Gates_of_the_Arctic,1993,JUL,720
Gates_of_the_Arctic,1993,AUG,983
Gates_of_the_Arctic,1993,SEP,107
Gates_of_the_Arctic,1993,OCT,15
Gates_of_the_Arctic,1993,NOV,6
Gates_of_the_Arctic,1993,DEC,9
Gates_of_the_Arctic,1993,Total_visitors,2245
Gates_of_the_Arctic,1992,JAN,16
Gates_of_the_Arctic,1992,FEB,18
Gates_of_the_Arctic,1992,MAR,39
Gates_of_the_Arctic,1992,APR,65
Gates_of_the_Arctic,1992,MAY,75
Gates_of_the_Arctic,1992,JUN,399
Gates_of_the_Arctic,1992,JUL,647
Gates_of_the_Arctic,1992,AUG,732
Gates_of_the_Arctic,1992,SEP,93
Gates_of_the_Arctic,1992,OCT,19
Gates_of_the_Arctic,1992,NOV,6
Gates_of_the_Arctic,1992,DEC,7
Gates_of_the_Arctic,1992,Total_visitors,2116
Gates_of_the_Arctic,1991,JAN,15
Gates_of_the_Arctic,1991,FEB,16
Gates_of_the_Arctic,1991,MAR,36
Gates_of_the_Arctic,1991,APR,22
Gates_of_the_Arctic,1991,MAY,52
Gates_of_the_Arctic,1991,JUN,152
Gates_of_the_Arctic,1991,JUL,382
Gates_of_the_Arctic,1991,AUG,403
Gates_of_the_Arctic,1991,SEP,43
Gates_of_the_Arctic,1991,OCT,23
Gates_of_the_Arctic,1991,NOV,8
Gates_of_the_Arctic,1991,DEC,2
Gates_of_the_Arctic,1991,Total_visitors,1154
Gates_of_the_Arctic,1990,JAN,2
Gates_of_the_Arctic,1990,FEB,2
Gates_of_the_Arctic,1990,MAR,33
Gates_of_the_Arctic,1990,APR,19
Gates_of_the_Arctic,1990,MAY,19
Gates_of_the_Arctic,1990,JUN,138
Gates_of_the_Arctic,1990,JUL,337
Gates_of_the_Arctic,1990,AUG,413
Gates_of_the_Arctic,1990,SEP,47
Gates_of_the_Arctic,1990,OCT,0
Gates_of_the_Arctic,1990,NOV,0
Gates_of_the_Arctic,1990,DEC,0
Gates_of_the_Arctic,1990,Total_visitors,1010
Gates_of_the_Arctic,1989,JAN,0
Gates_of_the_Arctic,1989,FEB,21
Gates_of_the_Arctic,1989,MAR,20
Gates_of_the_Arctic,1989,APR,27
Gates_of_the_Arctic,1989,MAY,20
Gates_of_the_Arctic,1989,JUN,88
Gates_of_the_Arctic,1989,JUL,332
Gates_of_the_Arctic,1989,AUG,246
Gates_of_the_Arctic,1989,SEP,60
Gates_of_the_Arctic,1989,OCT,4
Gates_of_the_Arctic,1989,NOV,3
Gates_of_the_Arctic,1989,DEC,1
Gates_of_the_Arctic,1989,Total_visitors,822
Gates_of_the_Arctic,1988,JAN,0
Gates_of_the_Arctic,1988,FEB,9
Gates_of_the_Arctic,1988,MAR,20
Gates_of_the_Arctic,1988,APR,12
Gates_of_the_Arctic,1988,MAY,33
Gates_of_the_Arctic,1988,JUN,84
Gates_of_the_Arctic,1988,JUL,547
Gates_of_the_Arctic,1988,AUG,505
Gates_of_the_Arctic,1988,SEP,42
Gates_of_the_Arctic,1988,OCT,6
Gates_of_the_Arctic,1988,NOV,0
Gates_of_the_Arctic,1988,DEC,0
Gates_of_the_Arctic,1988,Total_visitors,1258
Gates_of_the_Arctic,1987,JAN,14
Gates_of_the_Arctic,1987,FEB,16
Gates_of_the_Arctic,1987,MAR,19
Gates_of_the_Arctic,1987,APR,21
Gates_of_the_Arctic,1987,MAY,46
Gates_of_the_Arctic,1987,JUN,133
Gates_of_the_Arctic,1987,JUL,296
Gates_of_the_Arctic,1987,AUG,444
Gates_of_the_Arctic,1987,SEP,40
Gates_of_the_Arctic,1987,OCT,18
Gates_of_the_Arctic,1987,NOV,11
Gates_of_the_Arctic,1987,DEC,2
Gates_of_the_Arctic,1987,Total_visitors,1060
Gates_of_the_Arctic,1986,JAN,9
Gates_of_the_Arctic,1986,FEB,22
Gates_of_the_Arctic,1986,MAR,67
Gates_of_the_Arctic,1986,APR,103
Gates_of_the_Arctic,1986,MAY,30
Gates_of_the_Arctic,1986,JUN,116
Gates_of_the_Arctic,1986,JUL,816
Gates_of_the_Arctic,1986,AUG,1490
Gates_of_the_Arctic,1986,SEP,107
Gates_of_the_Arctic,1986,OCT,19
Gates_of_the_Arctic,1986,NOV,12
Gates_of_the_Arctic,1986,DEC,10
Gates_of_the_Arctic,1986,Total_visitors,2801
Gates_of_the_Arctic,1985,JAN,48
Gates_of_the_Arctic,1985,FEB,8
Gates_of_the_Arctic,1985,MAR,21
Gates_of_the_Arctic,1985,APR,74
Gates_of_the_Arctic,1985,MAY,11
Gates_of_the_Arctic,1985,JUN,213
Gates_of_the_Arctic,1985,JUL,351
Gates_of_the_Arctic,1985,AUG,525
Gates_of_the_Arctic,1985,SEP,64
Gates_of_the_Arctic,1985,OCT,2
Gates_of_the_Arctic,1985,NOV,10
Gates_of_the_Arctic,1985,DEC,54
Gates_of_the_Arctic,1985,Total_visitors,1381
Gates_of_the_Arctic,1984,JAN,20
Gates_of_the_Arctic,1984,FEB,66
Gates_of_the_Arctic,1984,MAR,58
Gates_of_the_Arctic,1984,APR,63
Gates_of_the_Arctic,1984,MAY,41
Gates_of_the_Arctic,1984,JUN,402
Gates_of_the_Arctic,1984,JUL,447
Gates_of_the_Arctic,1984,AUG,965
Gates_of_the_Arctic,1984,SEP,295
Gates_of_the_Arctic,1984,OCT,61
Gates_of_the_Arctic,1984,NOV,12
Gates_of_the_Arctic,1984,DEC,10
Gates_of_the_Arctic,1984,Total_visitors,2440
Gates_of_the_Arctic,1983,JAN,5
Gates_of_the_Arctic,1983,FEB,5
Gates_of_the_Arctic,1983,MAR,11
Gates_of_the_Arctic,1983,APR,30
Gates_of_the_Arctic,1983,MAY,75
Gates_of_the_Arctic,1983,JUN,279
Gates_of_the_Arctic,1983,JUL,701
Gates_of_the_Arctic,1983,AUG,673
Gates_of_the_Arctic,1983,SEP,279
Gates_of_the_Arctic,1983,OCT,45
Gates_of_the_Arctic,1983,NOV,22
Gates_of_the_Arctic,1983,DEC,13
Gates_of_the_Arctic,1983,Total_visitors,2138
Gates_of_the_Arctic,1982,JAN,40
Gates_of_the_Arctic,1982,FEB,44
Gates_of_the_Arctic,1982,MAR,42
Gates_of_the_Arctic,1982,APR,28
Gates_of_the_Arctic,1982,MAY,35
Gates_of_the_Arctic,1982,JUN,109
Gates_of_the_Arctic,1982,JUL,357
Gates_of_the_Arctic,1982,AUG,486
Gates_of_the_Arctic,1982,SEP,135
Gates_of_the_Arctic,1982,OCT,35
Gates_of_the_Arctic,1982,NOV,35
Gates_of_the_Arctic,1982,DEC,35
Gates_of_the_Arctic,1982,Total_visitors,1381
Gateway_Arch,2019,JAN,18962
Gateway_Arch,2019,FEB,51416
Gateway_Arch,2019,MAR,164238
Gateway_Arch,2019,APR,138309
Gateway_Arch,2019,MAY,165964
Gateway_Arch,2019,JUN,296149
Gateway_Arch,2019,JUL,583866
Gateway_Arch,2019,AUG,208999
Gateway_Arch,2019,SEP,127764
Gateway_Arch,2019,OCT,122770
Gateway_Arch,2019,NOV,91836
Gateway_Arch,2019,DEC,85036
Gateway_Arch,2019,Total_visitors,2055309
Gateway_Arch,2018,JAN,40170
Gateway_Arch,2018,FEB,52068
Gateway_Arch,2018,MAR,136466
Gateway_Arch,2018,APR,116666
Gateway_Arch,2018,MAY,143522
Gateway_Arch,2018,JUN,212462
Gateway_Arch,2018,JUL,634978
Gateway_Arch,2018,AUG,241684
Gateway_Arch,2018,SEP,154380
Gateway_Arch,2018,OCT,141037
Gateway_Arch,2018,NOV,90061
Gateway_Arch,2018,DEC,52686
Gateway_Arch,2018,Total_visitors,2016180
Gateway_Arch,2017,JAN,30163
Gateway_Arch,2017,FEB,30233
Gateway_Arch,2017,MAR,74140
Gateway_Arch,2017,APR,91530
Gateway_Arch,2017,MAY,120796
Gateway_Arch,2017,JUN,186788
Gateway_Arch,2017,JUL,245532
Gateway_Arch,2017,AUG,217438
Gateway_Arch,2017,SEP,120806
Gateway_Arch,2017,OCT,115574
Gateway_Arch,2017,NOV,88069
Gateway_Arch,2017,DEC,77119
Gateway_Arch,2017,Total_visitors,1398188
Gateway_Arch,2016,JAN,16552
Gateway_Arch,2016,FEB,8387
Gateway_Arch,2016,MAR,8387
Gateway_Arch,2016,APR,98719
Gateway_Arch,2016,MAY,138336
Gateway_Arch,2016,JUN,207288
Gateway_Arch,2016,JUL,264652
Gateway_Arch,2016,AUG,173446
Gateway_Arch,2016,SEP,120732
Gateway_Arch,2016,OCT,119830
Gateway_Arch,2016,NOV,83136
Gateway_Arch,2016,DEC,32390
Gateway_Arch,2016,Total_visitors,1271855
Gateway_Arch,2015,JAN,51474
Gateway_Arch,2015,FEB,39539
Gateway_Arch,2015,MAR,130502
Gateway_Arch,2015,APR,137609
Gateway_Arch,2015,MAY,179949
Gateway_Arch,2015,JUN,236179
Gateway_Arch,2015,JUL,306785
Gateway_Arch,2015,AUG,213293
Gateway_Arch,2015,SEP,135086
Gateway_Arch,2015,OCT,115196
Gateway_Arch,2015,NOV,85422
Gateway_Arch,2015,DEC,67622
Gateway_Arch,2015,Total_visitors,1698656
Gateway_Arch,2014,JAN,46152
Gateway_Arch,2014,FEB,46773
Gateway_Arch,2014,MAR,157328
Gateway_Arch,2014,APR,155470
Gateway_Arch,2014,MAY,195476
Gateway_Arch,2014,JUN,262197
Gateway_Arch,2014,JUL,343547
Gateway_Arch,2014,AUG,248366
Gateway_Arch,2014,SEP,113843
Gateway_Arch,2014,OCT,115680
Gateway_Arch,2014,NOV,73153
Gateway_Arch,2014,DEC,59106
Gateway_Arch,2014,Total_visitors,1817091
Gateway_Arch,2013,JAN,57737
Gateway_Arch,2013,FEB,60013
Gateway_Arch,2013,MAR,163183
Gateway_Arch,2013,APR,153434
Gateway_Arch,2013,MAY,196822
Gateway_Arch,2013,JUN,265408
Gateway_Arch,2013,JUL,809266
Gateway_Arch,2013,AUG,274111
Gateway_Arch,2013,SEP,148261
Gateway_Arch,2013,OCT,68067
Gateway_Arch,2013,NOV,109961
Gateway_Arch,2013,DEC,70995
Gateway_Arch,2013,Total_visitors,2377258
Gateway_Arch,2012,JAN,56326
Gateway_Arch,2012,FEB,67671
Gateway_Arch,2012,MAR,187038
Gateway_Arch,2012,APR,172210
Gateway_Arch,2012,MAY,197670
Gateway_Arch,2012,JUN,284592
Gateway_Arch,2012,JUL,805362
Gateway_Arch,2012,AUG,243878
Gateway_Arch,2012,SEP,152261
Gateway_Arch,2012,OCT,139189
Gateway_Arch,2012,NOV,105522
Gateway_Arch,2012,DEC,85007
Gateway_Arch,2012,Total_visitors,2496726
